%time,field
1697994062712076096,1900
1697994062767798400,1900
1697994062803892704,1900
1697994062863321216,1900
1697994062913262528,1900
1697994062964310080,1899
1697994063013556224,1900
1697994063063619648,1899
1697994063123968480,1900
1697994063174004000,1899
1697994063223160224,1900
1697994063273890016,1899
1697994063323881856,1901
1697994063383418176,1900
1697994063433670464,1900
1697994063483314816,1900
1697994063533157504,1899
1697994063583173920,1900
1697994063643312640,1900
1697994063693783936,1900
1697994063743699776,1900
1697994063793670528,1900
1697994063853525632,1901
1697994063903460064,1899
1697994063953314304,1900
1697994064003209568,1900
1697994064053979360,1900
1697994064114071584,1900
1697994064163433056,1899
1697994064213325280,1900
1697994064263221888,1899
1697994064313345504,1899
1697994064373602464,1899
1697994064423268736,1901
1697994064473309280,1899
1697994064528102432,1899
1697994064573327776,1899
1697994064633500736,1900
1697994064683218592,1899
1697994064733184512,1900
1697994064783695520,1900
1697994064833707232,1900
1697994064897980384,1900
1697994064943304768,1900
1697994064994218496,1900
1697994065043733568,1900
1697994065103928064,1900
1697994065154949024,1900
1697994065203784832,1900
1697994065253204544,1899
1697994065303564512,1900
1697994065364256128,1900
1697994065415447040,1899
1697994065463881792,1899
1697994065513959360,1899
1697994065563644256,1900
1697994065623533184,1900
1697994065673736448,1900
1697994065723778464,1901
1697994065776950240,1900
1697994065827938144,1899
1697994065883167424,1900
1697994065933202656,1900
1697994065985170688,1900
1697994066033631136,1901
1697994066083194944,1900
1697994066145812128,1899
1697994066195685184,1900
1697994066243445344,1900
1697994066293182752,1900
1697994066357940512,1900
1697994066403218464,1899
1697994066453123840,1901
1697994066506297888,1900
1697994066554464032,1900
1697994066615003712,1900
1697994066663342848,1899
1697994066713728352,1901
1697994066763667968,1900
1697994066813774688,1900
1697994066874019072,1900
1697994066924217344,1899
1697994066974283680,1899
1697994067023824128,1901
1697994067078386816,1898
1697994067133849792,1900
1697994067184105216,1899
1697994067233368608,1900
1697994067285637408,1900
1697994067334501600,1899
1697994067397706144,1900
1697994067443393376,1900
1697994067493693760,1900
1697994067543586080,1898
1697994067603948736,1900
1697994067653289152,1900
1697994067703613280,1900
1697994067753817824,1898
1697994067807533888,1900
1697994067863229888,1900
1697994067913225152,1900
1697994067963482784,1900
1697994068013805088,1900
1697994068064093056,1902
1697994068124131040,1900
1697994068177211392,1900
1697994068223339200,1900
1697994068274607296,1901
1697994068323238496,1899
1697994068375176928,1901
1697994068434046112,1900
1697994068483174432,1900
1697994068534065344,1900
1697994068586842016,1900
1697994068643336000,1900
1697994068693414144,1900
1697994068743240672,1900
1697994068794013600,1900
1697994068853651232,1898
1697994068903988832,1900
1697994068953488768,1900
1697994069004443936,1900
1697994069053463680,1900
1697994069113136960,1900
1697994069163604896,1900
1697994069213343296,1900
1697994069263342976,1902
1697994069314121312,1900
1697994069373336288,1902
1697994069423677856,1900
1697994069474038080,1901
1697994069523463200,1900
1697994069573888768,1899
1697994069636978240,1900
1697994069684067488,1900
1697994069733533184,1900
1697994069786289600,1900
1697994069833286336,1900
1697994069897369984,1900
1697994069943319680,1902
1697994069995691136,1900
1697994070043583904,1899
1697994070103995904,1900
1697994070153197216,1900
1697994070203470688,1900
1697994070253577408,1901
1697994070303233216,1899
1697994070363595712,1900
1697994070413423296,1899
1697994070463416704,1899
1697994070513234880,1900
1697994070563628896,1900
1697994070623387168,1900
1697994070673359808,1900
1697994070723892064,1899
1697994070774213696,1900
1697994070823090592,1901
1697994070883270816,1900
1697994070936773664,1899
1697994070983364160,1900
1697994071034859200,1900
1697994071084116544,1900
1697994071143241088,1902
1697994071193233504,1900
1697994071243243648,1901
1697994071293552640,1900
1697994071353782080,1900
1697994071404376640,1900
1697994071455554080,1900
1697994071503245792,1900
1697994071553624480,1900
1697994071613268864,1900
1697994071664612384,1900
1697994071714147616,1900
1697994071763264736,1900
1697994071815662656,1900
1697994071873155424,1900
1697994071924019488,1900
1697994071976740960,1899
1697994072023152896,1899
1697994072073893280,1900
1697994072134416960,1900
1697994072186551936,1902
1697994072233324128,1899
1697994072283654528,1899
1697994072333940160,1899
1697994072393418784,1900
1697994072444725952,1900
1697994072493413248,1899
1697994072544054112,1901
1697994072603596896,1900
1697994072653652160,1900
1697994072703169632,1899
1697994072753567904,1900
1697994072803196128,1900
1697994072863897984,1900
1697994072914056544,1900
1697994072963159488,1900
1697994073013171200,1900
1697994073063145184,1900
1697994073128122304,1902
1697994073173242464,1901
1697994073223326560,1900
1697994073273911648,1900
1697994073324128800,1900
1697994073384169280,1900
1697994073433963712,1899
1697994073484230016,1901
1697994073533429856,1900
1697994073583139360,1900
1697994073643168320,1900
1697994073693389344,1899
1697994073745875456,1900
1697994073794079072,1902
1697994073853532768,1900
1697994073904170656,1900
1697994073953559136,1900
1697994074003271008,1900
1697994074054067584,1899
1697994074114020896,1900
1697994074163538816,1899
1697994074213537184,1900
1697994074263145920,1900
1697994074313408224,1900
1697994074373887744,1901
1697994074423191232,1900
1697994074473451488,1900
1697994074523231808,1900
1697994074573228544,1900
1697994074633387680,1899
1697994074683207328,1900
1697994074734917408,1900
1697994074783323232,1900
1697994074833216640,1900
1697994074893510080,1900
1697994074943235072,1900
1697994074993321856,1902
1697994075043190144,1900
1697994075104494976,1900
1697994075153765632,1900
1697994075203627424,1900
1697994075253602560,1900
1697994075303568192,1900
1697994075363174944,1900
1697994075413580736,1900
1697994075463210368,1900
1697994075513462912,1900
1697994075563383744,1900
1697994075623087776,1900
1697994075673543200,1900
1697994075729586528,1900
1697994075773179232,1899
1697994075823229408,1900
1697994075883099872,1900
1697994075936441824,1901
1697994075983141568,1900
1697994076033852160,1899
1697994076083158752,1899
1697994076143266848,1901
1697994076193786688,1900
1697994076243103008,1900
1697994076295739200,1900
1697994076353267744,1900
1697994076403937856,1900
1697994076453197824,1900
1697994076503260800,1899
1697994076556583136,1900
1697994076613440896,1900
1697994076663262720,1900
1697994076713912992,1900
1697994076763565952,1900
1697994076813730912,1900
1697994076873226304,1901
1697994076923549312,1902
1697994076973914976,1900
1697994077023166336,1900
1697994077073926304,1899
1697994077134045376,1900
1697994077183567072,1899
1697994077233346080,1900
1697994077283387456,1900
1697994077336140704,1899
1697994077393953344,1900
1697994077449006592,1900
1697994077493272128,1900
1697994077543707456,1900
1697994077603193504,1900
1697994077653755392,1900
1697994077706323136,1900
1697994077754321760,1900
1697994077803401792,1900
1697994077864033312,1901
1697994077913250912,1902
1697994077963225920,1900
1697994078013684416,1900
1697994078063275872,1900
1697994078123239776,1899
1697994078173238240,1900
1697994078223853344,1900
1697994078273331232,1899
1697994078325194592,1900
1697994078385153504,1900
1697994078433307104,1900
1697994078484323648,1900
1697994078537438528,1900
1697994078584612352,1901
1697994078643191520,1900
1697994078693507584,1900
1697994078743248320,1900
1697994078794487328,1900
1697994078859032512,1900
1697994078903211520,1902
1697994078954518976,1900
1697994079003198368,1900
1697994079053449056,1899
1697994079113598432,1900
1697994079163719744,1900
1697994079213221728,1900
1697994079265664192,1900
1697994079313165088,1900
1697994079373552256,1900
1697994079424280480,1900
1697994079474084928,1902
1697994079524261856,1900
