%time,field
1697993762704030400,1902
1697993762754307712,1899
1697993762803454656,1900
1697993762863507520,1900
1697993762919343136,1900
1697993762964323424,1899
1697993763013954816,1902
1697993763063386336,1901
1697993763125354752,1900
1697993763175418400,1902
1697993763223534048,1900
1697993763273316992,1901
1697993763325431520,1900
1697993763377856544,1899
1697993763433244960,1899
1697993763485020416,1898
1697993763533262144,1900
1697993763583211872,1900
1697993763643255744,1900
1697993763693756064,1900
1697993763743543008,1900
1697993763793427040,1899
1697993763853317408,1899
1697993763903248896,1899
1697993763954226880,1900
1697993764003187936,1900
1697993764053991776,1900
1697993764114302656,1900
1697993764163617120,1900
1697993764213492032,1900
1697993764263156416,1900
1697993764313290880,1900
1697993764373653184,1899
1697993764423108448,1900
1697993764473543200,1901
1697993764523933184,1900
1697993764576952960,1900
1697993764634096896,1900
1697993764683172928,1900
1697993764733320096,1900
1697993764789550016,1900
1697993764833437248,1902
1697993764893566208,1901
1697993764943293248,1900
1697993764993141408,1900
1697993765046227840,1900
1697993765103253184,1899
1697993765153178944,1901
1697993765203523936,1901
1697993765254725888,1900
1697993765303304576,1898
1697993765363545440,1899
1697993765413321856,1900
1697993765465674720,1900
1697993765514398176,1899
1697993765563576000,1900
1697993765623164384,1900
1697993765673262944,1900
1697993765726424960,1899
1697993765780335872,1900
1697993765823344896,1901
1697993765883302016,1898
1697993765933913856,1900
1697993765983158400,1901
1697993766033537760,1900
1697993766083367552,1899
1697993766143478624,1899
1697993766193873120,1899
1697993766243188704,1901
1697993766295978496,1899
1697993766353475776,1900
1697993766403340224,1900
1697993766456173888,1900
1697993766503212448,1900
1697993766553979008,1898
1697993766613453504,1900
1697993766663358560,1900
1697993766714046240,1900
1697993766764152160,1900
1697993766813483840,1900
1697993766877937152,1899
1697993766925112768,1900
1697993766974046880,1900
1697993767023181280,1900
1697993767074271776,1900
1697993767133626528,1901
1697993767183198048,1904
1697993767233532640,1900
1697993767287114656,1900
1697993767333795264,1900
1697993767393807776,1900
1697993767443176736,1899
1697993767493295072,1901
1697993767543195840,1900
1697993767603580672,1899
1697993767654014880,1900
1697993767710859872,1900
1697993767753248864,1900
1697993767803344672,1901
1697993767863451488,1902
1697993767913563040,1899
1697993767964577472,1900
1697993768013347968,1900
1697993768064248192,1900
1697993768123415296,1903
1697993768177282688,1899
1697993768223396704,1899
1697993768273339072,1900
1697993768324334464,1900
1697993768383931232,1900
1697993768433326304,1899
1697993768483968992,1900
1697993768533634464,1900
1697993768583552128,1899
1697993768643388736,1902
1697993768693432768,1900
1697993768746123520,1900
1697993768793810592,1900
1697993768853194976,1899
1697993768903755360,1900
1697993768953694688,1899
1697993769003254592,1900
1697993769053498304,1900
1697993769113624384,1898
1697993769164385056,1900
1697993769213460192,1899
1697993769263810272,1900
1697993769313580448,1899
1697993769373753216,1900
1697993769423288736,1900
1697993769473298848,1900
1697993769523346432,1900
1697993769573444768,1900
1697993769636126944,1899
1697993769683189152,1900
1697993769734047520,1900
1697993769783310816,1899
1697993769833943104,1900
1697993769893203200,1900
1697993769943443840,1900
1697993769993209344,1899
1697993770043435680,1900
1697993770104194880,1900
1697993770153278752,1900
1697993770203587200,1900
1697993770254108864,1900
1697993770306134688,1900
1697993770363434048,1900
1697993770413259104,1900
1697993770463186144,1899
1697993770513290368,1899
1697993770563470464,1900
1697993770623236128,1900
1697993770673205344,1900
1697993770724991104,1900
1697993770773256064,1900
1697993770823327168,1900
1697993770874879648,1899
1697993770936363040,1900
1697993770983445824,1900
1697993771038192928,1900
1697993771083669728,1901
1697993771143140928,1899
1697993771193236448,1899
1697993771243350336,1900
1697993771293661664,1900
1697993771353401856,1901
1697993771406170880,1900
1697993771453246336,1900
1697993771503513280,1900
1697993771553787424,1899
1697993771613812928,1898
1697993771669523136,1900
1697993771713404704,1900
1697993771766087584,1900
1697993771817145824,1900
1697993771875089216,1900
1697993771925175008,1899
1697993771979446880,1900
1697993772023340736,1900
1697993772073228256,1900
1697993772133637408,1900
1697993772186166336,1900
1697993772237246496,1900
1697993772283784960,1900
1697993772333590656,1900
1697993772393251072,1899
1697993772443268352,1900
1697993772493863104,1900
1697993772546201600,1900
1697993772603600704,1900
1697993772653314112,1900
1697993772703280416,1900
1697993772753700544,1900
1697993772803690112,1900
1697993772863437664,1900
1697993772913288832,1899
1697993772963167456,1900
1697993773014448096,1900
1697993773066339616,1900
1697993773123701856,1900
1697993773173939840,1900
1697993773224621088,1897
1697993773273812992,1900
1697993773323508000,1898
1697993773383458880,1902
1697993773433157056,1900
1697993773484587040,1895
1697993773535438112,1900
1697993773583270688,1902
1697993773643656288,1900
1697993773693669344,1900
1697993773747985632,1900
1697993773793429536,1902
1697993773849553344,1900
1697993773903356608,1900
1697993773953713056,1900
1697993774003613920,1900
1697993774053385792,1899
1697993774113298880,1899
1697993774163670304,1900
1697993774213261664,1900
