%time,field
1697994362704124928,1552
1697994362811240832,1552
1697994362811344896,1553
1697994362863275296,1555
1697994362914462368,1554
1697994362964381024,1555
1697994363013980928,1554
1697994363073210976,1555
1697994363123567680,1555
1697994363173633984,1555
1697994363223406464,1581
1697994363273228384,1593
1697994363333748736,1580
1697994363384193952,1573
1697994363433708320,1574
1697994363483246592,1234
1697994363533378944,1573
1697994363593403776,1555
1697994363645395232,1538
1697994363693236160,1528
1697994363743275712,1515
1697994363803204704,1512
1697994363854108736,1510
1697994363903346336,1502
1697994363953728416,1502
1697994364004596416,1502
1697994364064596608,1502
1697994364113266080,1500
1697994364163185312,1500
1697994364213374528,1502
1697994364263476544,1223
1697994364325621184,1499
1697994364373257536,1497
1697994364423895744,1498
1697994364473249312,1496
1697994364523293056,1406
1697994364587489952,1342
1697994364633268384,1246
1697994364683598016,1035
1697994364733928832,1002
1697994364783174304,1002
1697994364843863072,1002
1697994364899192576,1002
1697994364944216416,1003
1697994364993294560,1003
1697994365053467328,1396
1697994365103320832,1495
1697994365154303264,1500
1697994365203240192,1503
1697994365253524352,1499
1697994365313944096,1561
1697994365363855008,1580
1697994365413943424,1599
1697994365463991328,1323
1697994365513886048,1581
1697994365573685248,1582
1697994365624321344,1582
1697994365674034752,1582
1697994365723202528,1580
1697994365773554816,1582
1697994365836137152,1593
1697994365884156896,1601
1697994365933555296,1596
1697994365983731744,1585
1697994366034105152,1538
1697994366093352352,1499
1697994366146123648,1497
1697994366193363488,1494
1697994366243216960,1486
1697994366303347360,1279
1697994366353625920,1204
1697994366404425568,1175
1697994366453444864,1096
1697994366503450176,1096
1697994366566449952,1086
1697994366613883168,1003
1697994366663641216,1002
1697994366713457888,1003
1697994366763576000,1003
1697994366824114368,1002
1697994366873214048,1122
1697994366923186304,1452
1697994366973606112,1497
1697994367023370112,1498
1697994367083328736,1499
1697994367133348768,1499
1697994367183614784,1498
1697994367235931648,1498
1697994367283174208,1499
1697994367343394336,1500
1697994367393835936,1500
1697994367443343680,1271
1697994367493698720,1000
1697994367553680128,1553
1697994367603386912,1540
1697994367653606624,1540
1697994367703257440,1540
1697994367753591296,1539
1697994367813496864,1540
1697994367863914624,1566
1697994367913289344,1600
1697994367965795808,1599
1697994368013786080,1573
1697994368063521760,1573
1697994368123490560,1573
1697994368174371136,1553
1697994368223201280,1207
1697994368273885728,1533
1697994368335010720,1519
1697994368383202976,1503
1697994368433560608,1502
1697994368483429504,1502
1697994368540160928,1505
1697994368593227872,1526
1697994368643861632,1526
1697994368693662624,1527
1697994368743841216,1523
1697994368803993920,1520
1697994368856702560,1517
1697994368903220544,1517
1697994368954873792,1516
1697994369003493344,1512
1697994369063128640,1511
1697994369113428832,1508
1697994369163411872,1507
1697994369213135328,1527
1697994369263272640,1539
1697994369323352512,1538
1697994369373384896,1528
1697994369423298656,1244
1697994369473270528,1519
1697994369523452352,1517
1697994369575219168,1504
1697994369633716000,1505
1697994369683244800,1502
1697994369733522752,1502
1697994369783310592,1502
1697994369844486208,1502
1697994369893439904,1502
1697994369945086752,1502
1697994369996175712,1502
1697994370053375008,1502
1697994370103405984,1502
1697994370153473184,1528
1697994370203253472,1528
1697994370253502240,1529
1697994370313596704,1531
1697994370363775424,1532
1697994370413464864,1532
1697994370463301152,1530
1697994370513655168,1531
1697994370573194272,1531
1697994370624518496,1532
1697994370673171776,1532
1697994370727058080,1531
1697994370773455072,1532
1697994370834054592,1535
1697994370883276032,1538
1697994370934290336,1538
1697994370983848416,1538
1697994371034043136,1538
1697994371093302880,1538
1697994371144582560,1538
1697994371194661600,1537
1697994371243331072,1537
1697994371304155168,1537
1697994371353150912,1536
1697994371403455296,1269
1697994371453242432,1539
1697994371503241088,1538
1697994371564062496,1538
1697994371613403776,1539
1697994371663562400,1315
1697994371713233792,1539
1697994371763521472,1539
1697994371824364992,1540
1697994371873306560,1540
1697994371927146720,1543
1697994371974221184,1544
1697994372023447840,1545
1697994372083174752,1546
1697994372136143328,1546
1697994372183616960,1188
1697994372233442304,1545
1697994372283490336,1299
1697994372344220320,1568
1697994372393241600,1567
1697994372443297024,1564
1697994372493516352,1560
1697994372553483424,1557
1697994372606468128,1558
1697994372653641024,1556
1697994372703580640,1557
1697994372754457152,1557
1697994372806058976,1558
1697994372865950368,1557
1697994372913720192,1557
1697994372963233760,1557
1697994373013240000,1558
1697994373073218528,1557
1697994373123691104,1555
1697994373173771936,1555
1697994373223315456,1554
1697994373273390016,1554
1697994373333279328,1548
1697994373386643136,1549
1697994373435530400,1541
1697994373483676192,1541
1697994373533759840,1541
1697994373593373344,1540
1697994373643509984,1541
1697994373697195392,1541
1697994373743376416,1546
1697994373803212864,1551
1697994373854195840,1552
1697994373903544768,1552
1697994373955741408,1551
1697994374003175232,1552
1697994374064098624,1551
1697994374113299168,1552
1697994374164393056,1149
1697994374213227872,1550
1697994374267765088,1297
1697994374324393472,1550
1697994374373281024,1550
1697994374423288512,1551
1697994374474512000,1551
1697994374523659488,1551
1697994374583724544,1549
1697994374638954144,1550
1697994374683198752,1555
1697994374733431360,1554
1697994374783677664,1557
1697994374843272864,1557
1697994374894562432,1558
1697994374943274624,1557
1697994374995400192,1557
1697994375053964384,1557
1697994375104172992,1556
1697994375153286624,1558
1697994375206773280,1555
1697994375253570016,1556
1697994375313311072,1556
1697994375365547808,1555
1697994375413354560,1556
1697994375463252448,1556
1697994375513176672,1556
1697994375576652352,1553
1697994375623429120,1555
1697994375673454752,1555
1697994375723253952,1556
1697994375773589216,1556
1697994375833221088,1555
1697994375883313120,1555
1697994375933615360,1555
1697994375984412992,1553
1697994376033734528,1554
1697994376094053376,1553
1697994376143202720,1553
1697994376194019776,1553
1697994376243893632,1552
1697994376303517280,1550
1697994376353156128,1547
1697994376408174176,1547
1697994376453996448,1547
1697994376505824512,1547
1697994376563132992,1548
1697994376615828480,1545
1697994376663724128,1547
1697994376714042240,1547
1697994376763595040,1549
1697994376816954944,1547
1697994376874295584,1547
1697994376925194880,1548
1697994376973662304,1547
1697994377023250368,1165
1697994377084037216,1551
1697994377133218752,1552
1697994377183612096,1552
1697994377233439808,1552
1697994377284341056,1552
1697994377343353056,1551
1697994377393324512,1551
1697994377443997632,1553
1697994377494039424,1551
1697994377545956224,1551
1697994377603261632,1550
1697994377656029152,1552
1697994377703721024,1553
1697994377753661696,1551
1697994377814408320,1552
1697994377864933600,1551
1697994377914076128,1551
1697994377963223392,1550
1697994378014699008,1551
1697994378073969440,1550
1697994378123422528,1550
1697994378173596000,1552
1697994378223638944,1314
1697994378274476448,1551
1697994378333187712,1550
1697994378385828512,1547
1697994378435538528,1549
1697994378483262976,1548
1697994378535639840,1548
1697994378593325056,1547
1697994378643665248,1547
1697994378693266304,1547
1697994378743267392,1546
1697994378803151744,1549
1697994378853925088,1548
1697994378903632064,1548
1697994378953699552,1549
1697994379003266048,1156
1697994379063204800,1547
1697994379113465024,1548
1697994379163340000,1548
1697994379213646976,1550
1697994379263215008,1552
1697994379323305632,1550
1697994379374793536,1549
1697994379423648992,1550
1697994379475010880,1552
1697994379523197408,1550
1697994379588128160,1550
1697994379633785120,1549
1697994379685937344,1549
1697994379733661600,1550
1697994379783816960,1550
1697994379843952160,1551
1697994379893420288,1550
1697994379944037088,1550
1697994379993541312,1549
1697994380053466688,1549
1697994380103231648,1549
1697994380155748672,1549
1697994380203523168,1320
1697994380253540096,1550
1697994380314839968,1549
1697994380364440960,1550
1697994380413219584,1550
1697994380463614400,1550
1697994380513219616,1549
1697994380573254528,1549
1697994380623203648,1549
1697994380674193888,1549
1697994380724021696,1547
1697994380773563040,1548
1697994380833725088,1549
1697994380884079456,1549
1697994380933223104,1550
1697994380988103040,1180
1697994381034296512,1548
1697994381084508864,1550
1697994381143687776,1549
1697994381193246304,1549
1697994381244985504,1550
1697994381303637248,1549
1697994381353282656,1550
1697994381406219488,1549
1697994381453159072,1550
1697994381503623296,1550
1697994381563298784,1549
1697994381615853760,1549
1697994381667041824,1550
1697994381713530400,1551
1697994381763364384,1549
1697994381823912032,1551
1697994381873465536,1550
1697994381926177152,1552
1697994381973913216,1555
1697994382023623040,1555
1697994382083971360,1552
1697994382133419648,1555
1697994382183438528,1335
1697994382233648800,1555
1697994382284095712,1555
1697994382343225056,1554
1697994382393335168,1554
1697994382443416256,1554
1697994382493348992,1554
1697994382554410496,1554
1697994382603499904,1553
1697994382653340896,1552
1697994382704227104,1552
1697994382756500640,1551
1697994382818500224,1554
1697994382863973312,1552
1697994382914333760,1552
1697994382963494720,1138
1697994383013518016,1552
1697994383075503232,1550
1697994383123402016,1548
1697994383176100992,1549
1697994383223276416,1550
1697994383274777280,1548
1697994383333573536,1549
1697994383384573344,1550
1697994383433472192,1548
1697994383484016800,1550
1697994383533921632,1550
1697994383593179200,1550
1697994383643584384,1551
1697994383694175296,1554
1697994383743409184,1555
1697994383803900384,1556
1697994383853398752,1555
1697994383905519392,1555
1697994383953374720,1555
1697994384009576128,1553
1697994384063201184,1556
1697994384113283456,1553
1697994384163378848,1410
1697994384213258304,1555
1697994384263382016,1556
1697994384327204416,1555
1697994384373471040,1555
1697994384423294592,1554
1697994384474091392,1555
1697994384523187552,1553
1697994384583172064,1555
1697994384634681600,1555
1697994384683478464,1555
1697994384734890976,1555
1697994384784306752,1554
1697994384844699104,1554
1697994384895116704,1555
1697994384943817888,1128
1697994384993899840,1555
1697994385054405216,1555
1697994385104108224,1555
1697994385153551392,1556
1697994385203961152,1554
1697994385253332096,1554
1697994385313275648,1555
1697994385363294208,1556
1697994385413548288,1553
1697994385464094880,1556
1697994385513522656,1555
1697994385573788736,1554
1697994385624481920,1556
1697994385675759488,1554
1697994385723542048,1553
1697994385773193664,1550
1697994385834245952,1552
1697994385883123488,1551
1697994385933431872,1553
1697994385983108736,1553
1697994386034204032,1554
1697994386083701440,1553
1697994386143214464,1353
1697994386194230368,1553
1697994386243223936,1552
1697994386303689120,1552
1697994386358543200,1554
1697994386403677120,1552
1697994386457296224,1552
1697994386503478976,1552
1697994386564052416,1550
1697994386615517952,1553
1697994386663972672,1552
1697994386713753600,1551
1697994386763245856,1551
1697994386823407680,1551
1697994386873757888,1551
1697994386923370848,1056
1697994386973203904,1553
1697994387025538784,1418
1697994387084922784,1551
1697994387133868576,1551
1697994387183590816,1547
1697994387234175744,1552
1697994387286725888,1553
1697994387343696576,1552
1697994387393746240,1551
1697994387443248992,1551
1697994387493753344,1551
1697994387553447744,1551
1697994387603655424,1551
1697994387653613344,1552
1697994387710010368,1552
1697994387753209984,1551
1697994387813364320,1552
1697994387863419296,1552
1697994387914360512,1553
1697994387967042784,1554
1697994388013411040,1554
1697994388074125088,1554
1697994388124573792,1550
1697994388173289408,1554
1697994388223587968,1554
1697994388274009088,1555
1697994388333292224,1555
1697994388383573312,1553
1697994388433457984,1554
1697994388484068832,1554
1697994388533226304,1554
1697994388594108864,1554
1697994388643253088,1554
1697994388695994400,1554
1697994388744100800,1554
1697994388807384960,1556
1697994388853232768,1554
1697994388903775648,1555
1697994388953332896,1554
1697994389003453568,1430
1697994389063212704,1555
1697994389113259200,1554
1697994389165964512,1554
1697994389213730112,1554
1697994389263552224,1555
1697994389329788480,1552
1697994389373291776,1554
1697994389423184640,1553
1697994389476125184,1552
1697994389523338144,1551
1697994389584267104,1550
1697994389633677408,1553
1697994389683119904,1550
1697994389734023712,1552
1697994389783430368,1107
1697994389843251872,1553
1697994389893797920,1553
1697994389947297248,1552
1697994389993847808,1554
1697994390053363008,1553
1697994390103639552,1551
1697994390153988032,1552
1697994390204245344,1552
1697994390255372544,1552
1697994390313930080,1552
1697994390363163552,1552
1697994390413670048,1552
1697994390463217920,1554
1697994390513642560,1552
1697994390573452960,1553
1697994390623251392,1552
1697994390673301824,1554
1697994390723216832,1552
1697994390773414720,1553
1697994390833731264,1553
1697994390883292640,1553
1697994390934292576,1553
1697994390984003680,1438
1697994391034012096,1552
1697994391093936416,1553
1697994391143525920,1553
1697994391194277024,1552
1697994391245929280,1554
1697994391304173344,1553
1697994391353172544,1552
1697994391403219776,1553
1697994391454422240,1555
