%time,field
1697994362704124928,1451
1697994362811240832,1451
1697994362811344896,1451
1697994362863275296,1451
1697994362914462368,1450
1697994362964381024,1449
1697994363013980928,1449
1697994363073210976,1450
1697994363123567680,1450
1697994363173633984,1450
1697994363223406464,1065
1697994363273228384,1447
1697994363333748736,1452
1697994363384193952,1446
1697994363433708320,1451
1697994363483246592,1451
1697994363533378944,1452
1697994363593403776,1451
1697994363645395232,1448
1697994363693236160,1448
1697994363743275712,1455
1697994363803204704,1453
1697994363854108736,1452
1697994363903346336,1450
1697994363953728416,1451
1697994364004596416,1276
1697994364064596608,1452
1697994364113266080,1455
1697994364163185312,1451
1697994364213374528,1449
1697994364263476544,1450
1697994364325621184,1456
1697994364373257536,1452
1697994364423895744,1459
1697994364473249312,1452
1697994364523293056,1452
1697994364587489952,1450
1697994364633268384,1452
1697994364683598016,1454
1697994364733928832,1454
1697994364783174304,1453
1697994364843863072,1449
1697994364899192576,1452
1697994364944216416,1453
1697994364993294560,1452
1697994365053467328,1449
1697994365103320832,1448
1697994365154303264,1448
1697994365203240192,1103
1697994365253524352,1447
1697994365313944096,1447
1697994365363855008,1447
1697994365413943424,1445
1697994365463991328,1455
1697994365513886048,1460
1697994365573685248,1460
1697994365624321344,1456
1697994365674034752,1454
1697994365723202528,1448
1697994365773554816,1451
1697994365836137152,1454
1697994365884156896,1459
1697994365933555296,1455
1697994365983731744,1300
1697994366034105152,1451
1697994366093352352,1450
1697994366146123648,1453
1697994366193363488,1452
1697994366243216960,1451
1697994366303347360,1451
1697994366353625920,1453
1697994366404425568,1450
1697994366453444864,1448
1697994366503450176,1448
1697994366566449952,1448
1697994366613883168,1447
1697994366663641216,1448
1697994366713457888,1447
1697994366763576000,1449
1697994366824114368,1450
1697994366873214048,1450
1697994366923186304,1452
1697994366973606112,1453
1697994367023370112,1452
1697994367083328736,1447
1697994367133348768,1428
1697994367183614784,1399
1697994367235931648,1390
1697994367283174208,1399
1697994367343394336,1393
1697994367393835936,1399
1697994367443343680,1427
1697994367493698720,1437
1697994367553680128,1447
1697994367603386912,1438
1697994367653606624,1439
1697994367703257440,1435
1697994367753591296,1419
1697994367813496864,1418
1697994367863914624,1413
1697994367913289344,1415
1697994367965795808,1330
1697994368013786080,1401
1697994368063521760,1387
1697994368123490560,1365
1697994368174371136,1357
1697994368223201280,1370
1697994368273885728,1367
1697994368335010720,1346
1697994368383202976,1337
1697994368433560608,1332
1697994368483429504,1339
1697994368540160928,1324
1697994368593227872,1316
1697994368643861632,1289
1697994368693662624,1276
1697994368743841216,1257
1697994368803993920,1239
1697994368856702560,1239
1697994368903220544,1244
1697994368954873792,1240
1697994369003493344,1066
1697994369063128640,1211
1697994369113428832,1192
1697994369163411872,1146
1697994369213135328,1146
1697994369263272640,1147
1697994369323352512,1146
1697994369373384896,1144
1697994369423298656,1145
1697994369473270528,1145
1697994369523452352,1146
1697994369575219168,1147
1697994369633716000,1145
1697994369683244800,1146
1697994369733522752,1144
1697994369783310592,1146
1697994369844486208,1146
1697994369893439904,1145
1697994369945086752,1146
1697994369996175712,1145
1697994370053375008,1146
1697994370103405984,1146
1697994370153473184,1146
1697994370203253472,1068
1697994370253502240,1145
1697994370313596704,1146
1697994370363775424,1146
1697994370413464864,1171
1697994370463301152,1199
1697994370513655168,1268
1697994370573194272,1372
1697994370624518496,1398
1697994370673171776,1417
1697994370727058080,1432
1697994370773455072,1445
1697994370834054592,1213
1697994370883276032,1450
1697994370934290336,1450
1697994370983848416,1450
1697994371034043136,1448
1697994371093302880,1449
1697994371144582560,1448
1697994371194661600,1450
1697994371243331072,1455
1697994371304155168,1466
1697994371353150912,1482
1697994371403455296,1498
1697994371453242432,1499
1697994371503241088,1488
1697994371564062496,1466
1697994371613403776,1459
1697994371663562400,1458
1697994371713233792,1450
1697994371763521472,1449
1697994371824364992,1447
1697994371873306560,1449
1697994371927146720,1451
1697994371974221184,1448
1697994372023447840,1136
1697994372083174752,1447
1697994372136143328,1447
